order_id,date,email,first_name,last_name,address,country,item,size,qty
01HPYDX1Y571QKSHBZ2NRM9Z70,9/5/2023,aocooney0@flavors.me,Ainslee,O'Cooney,73 Sloan Terrace,Bosnia and Herzegovina,Tshirt,Large,1
01HPYDX206ZSWNGEAS4QKSCGH9,1/19/2023,jchese1@dropbox.com,Josey,Chese,29677 Harper Way,Nigeria,Hat,XX-Large,2
01HPYDX208H9X11TER3CZTW9FM,8/23/2023,akingstne2@flickr.com,Ag,Kingstne,65 Del Sol Plaza,United States,Sweater,XX-Large,3
01HPYDX20AD3S54A5044DP733W,12/5/2023,kupward3@eventbrite.com,Kaylee,Upward,46338 Spaight Drive,Peru,Tshirt,Large,2
01HPYDX20CVFQBFD68VF87W7KW,8/4/2023,mprewer4@paypal.com,Mortie,Prewer,81180 Hauk Point,Brazil,Scarf,XX-Large,3
01HPYDX20DDQ50H4WAS1GB9YYX,12/10/2023,qledbury5@miitbeian.gov.cn,Quintina,Ledbury,102 Dayton Drive,Brazil,Tshirt,Small,4
01HPYDX20E5W1MQ256WKP05KDA,7/21/2023,lgimlet6@squidoo.com,Lari,Gimlet,09 Michigan Pass,France,Tshirt,Large,2
01HPYDX20GFYE2QCA91ZZGN94V,11/16/2023,divantyev7@eventbrite.com,Dante,Ivantyev,7148 Mayfield Circle,Sweden,Hat,X-Large,3
01HPYDX20H2ZWT4PFAMR2MTDVG,9/24/2023,crakes8@google.de,Chevy,Rakes,70891 Monica Street,Brazil,Hoody,Medium,2
01HPYDX20J61VH6D842W0C72P7,1/23/2023,lpittham9@example.com,Leone,Pittham,5 American Ash Alley,Brazil,Hoody,Small,2
01HPYDX20MHFK3YDMC51PDHY87,10/31/2023,hgoodreada@moonfruit.com,Hendrick,Goodread,24771 Hallows Crossing,Brazil,Hoody,Medium,4
01HPYDX20QEK0F8NWT10BWXCKJ,9/15/2023,rfoulisb@tiny.cc,Regine,Foulis,3 Cody Street,Italy,Tshirt,X-Large,2
01HPYDX20RF6M2153MAFP3NA45,2/6/2023,ehilldropc@miitbeian.gov.cn,Eudora,Hilldrop,54 Pierstorff Alley,Sweden,Sweater,Large,3
01HPYDX20TR4389SB9Y90SYSD4,6/8/2023,jbortond@amazon.com,Joyann,Borton,389 Spenser Park,Norway,Scarf,Medium,2
01HPYDX20W8CBTCDKA2C7MMFDA,9/19/2023,dmagowane@sourceforge.net,Derick,Magowan,10330 Laurel Hill,United States,Hoody,XX-Large,3
01HPYDX20XVER052R7PAW0PWFG,7/18/2023,dbadseyf@liveinternet.ru,Desmund,Badsey,0567 Nancy Trail,Sweden,Sweater,XX-Large,1
01HPYDX20YK3DQK19Q9T5S1WJQ,5/6/2023,ndrugang@ucoz.com,Niccolo,Drugan,92577 Elka Pass,Peru,Tshirt,Large,4
01HPYDX20ZDZDPMQCXJ477E8VC,8/8/2023,mmcroryh@cnet.com,Mia,McRory,8 Blaine Road,France,Shorts,Medium,1
01HPYDX2108B68CK8XBBQ05QMX,3/19/2023,njaoueni@yellowbook.com,Nerte,Jaouen,51217 Killdeer Way,France,Sweater,Large,2
01HPYDX211RCHV9HP8JECYH934,4/26/2023,wdwyerj@scientificamerican.com,Walther,Dwyer,464 Judy Avenue,France,Sweater,Medium,3
01HPYDX212MHG5E5E3CM4ZNPM1,6/16/2023,blanegrank@bloglovin.com,Byrann,Lanegran,5 Kropf Point,Argentina,Sweater,Large,4
01HPYDX214EH94FNQTQTG13VJ7,5/28/2023,kgerardl@issuu.com,Kaylee,Gerard,895 Anderson Plaza,Brazil,Scarf,Large,2
01HPYDX215VAEB01128ZCXN9DC,10/2/2023,ebeerm@symantec.com,Edeline,Beer,284 Butternut Trail,Nigeria,Sweater,Large,3
01HPYDX216Y62V2N35BZKWSP47,9/17/2023,acarlozzin@nifty.com,Alicea,Carlozzi,9 Vera Street,Nigeria,Scarf,X-Large,2
01HPYDX217GMPKZMC7AG3QBS6A,8/27/2023,mstanmano@uiuc.edu,Morganne,Stanman,350 Jenna Park,France,Tshirt,Medium,2
